id,difficulty,width,height,mines,status,touches,guesses,revealed_count,total_safe_cells,score
1,beginner,9,9,10,won,12,0,71,71,12
2,beginner,9,9,10,lost,12,4,53,71,31
3,beginner,9,9,10,won,11,0,71,71,11
4,beginner,9,9,10,won,17,0,71,71,17
5,beginner,9,9,10,won,16,0,71,71,16
6,beginner,9,9,10,won,14,0,71,71,14
7,beginner,9,9,10,won,16,0,71,71,16
8,beginner,9,9,10,won,20,5,71,71,20
9,beginner,9,9,10,won,11,1,71,71,11
10,beginner,9,9,10,won,14,0,71,71,14
11,beginner,9,9,10,won,19,0,71,71,19
12,beginner,9,9,10,won,27,4,71,71,27
13,beginner,9,9,10,won,12,1,71,71,12
14,beginner,9,9,10,won,22,3,71,71,22
15,beginner,9,9,10,won,15,3,71,71,15
16,beginner,9,9,10,won,19,0,71,71,19
17,beginner,9,9,10,won,26,0,71,71,26
18,beginner,9,9,10,won,20,0,71,71,20
19,beginner,9,9,10,won,19,0,71,71,19
20,beginner,9,9,10,won,15,0,71,71,15
21,beginner,9,9,10,won,15,0,71,71,15
22,beginner,9,9,10,won,19,3,71,71,19
23,beginner,9,9,10,won,20,0,71,71,20
24,beginner,9,9,10,won,15,0,71,71,15
25,beginner,9,9,10,won,13,0,71,71,13
26,beginner,9,9,10,won,24,0,71,71,24
27,beginner,9,9,10,won,27,0,71,71,27
28,beginner,9,9,10,won,13,0,71,71,13
29,beginner,9,9,10,won,13,0,71,71,13
30,beginner,9,9,10,won,18,0,71,71,18
31,beginner,9,9,10,won,23,0,71,71,23
32,beginner,9,9,10,won,19,1,71,71,19
33,beginner,9,9,10,won,4,0,71,71,4
34,beginner,9,9,10,lost,9,2,59,71,22
35,beginner,9,9,10,lost,14,1,71,71,15
36,beginner,9,9,10,won,12,0,71,71,12
37,beginner,9,9,10,won,14,0,71,71,14
38,beginner,9,9,10,won,13,0,71,71,13
39,beginner,9,9,10,won,27,0,71,71,27
40,beginner,9,9,10,won,16,0,71,71,16
41,beginner,9,9,10,won,21,0,71,71,21
42,beginner,9,9,10,won,23,0,71,71,23
43,beginner,9,9,10,won,22,0,71,71,22
44,beginner,9,9,10,won,11,0,71,71,11
45,beginner,9,9,10,won,11,0,71,71,11
46,beginner,9,9,10,won,23,2,71,71,23
47,beginner,9,9,10,won,17,0,71,71,17
48,beginner,9,9,10,won,21,0,71,71,21
49,beginner,9,9,10,won,15,1,71,71,15
50,beginner,9,9,10,won,22,0,71,71,22
51,beginner,9,9,10,lost,18,2,70,71,20
52,beginner,9,9,10,won,16,0,71,71,16
53,beginner,9,9,10,won,22,0,71,71,22
54,beginner,9,9,10,won,13,0,71,71,13
55,beginner,9,9,10,won,7,0,71,71,7
56,beginner,9,9,10,won,19,0,71,71,19
57,beginner,9,9,10,won,18,1,71,71,18
58,beginner,9,9,10,lost,22,1,70,71,24
59,beginner,9,9,10,won,14,3,71,71,14
60,beginner,9,9,10,won,16,0,71,71,16
61,beginner,9,9,10,lost,4,1,68,71,8
62,beginner,9,9,10,won,29,0,71,71,29
63,beginner,9,9,10,won,17,0,71,71,17
64,beginner,9,9,10,won,17,0,71,71,17
65,beginner,9,9,10,won,15,0,71,71,15
66,beginner,9,9,10,won,13,0,71,71,13
67,beginner,9,9,10,won,19,1,71,71,19
68,beginner,9,9,10,lost,2,1,22,71,52
69,beginner,9,9,10,won,24,0,71,71,24
70,beginner,9,9,10,won,24,4,71,71,24
71,beginner,9,9,10,won,16,0,71,71,16
72,beginner,9,9,10,won,18,0,71,71,18
73,beginner,9,9,10,won,10,0,71,71,10
74,beginner,9,9,10,won,12,0,71,71,12
75,beginner,9,9,10,won,16,0,71,71,16
76,beginner,9,9,10,won,8,0,71,71,8
77,beginner,9,9,10,won,14,0,71,71,14
78,beginner,9,9,10,won,8,0,71,71,8
79,beginner,9,9,10,won,9,0,71,71,9
80,beginner,9,9,10,won,15,1,71,71,15
81,beginner,9,9,10,won,14,0,71,71,14
82,beginner,9,9,10,won,10,0,71,71,10
83,beginner,9,9,10,won,9,0,71,71,9
84,beginner,9,9,10,won,13,0,71,71,13
85,beginner,9,9,10,won,18,0,71,71,18
86,beginner,9,9,10,won,16,0,71,71,16
87,beginner,9,9,10,won,7,1,71,71,7
88,beginner,9,9,10,won,18,3,71,71,18
89,beginner,9,9,10,won,25,0,71,71,25
90,beginner,9,9,10,won,8,0,71,71,8
91,beginner,9,9,10,won,22,0,71,71,22
92,beginner,9,9,10,won,15,0,71,71,15
93,beginner,9,9,10,won,20,0,71,71,20
94,beginner,9,9,10,won,19,1,71,71,19
95,beginner,9,9,10,won,9,0,71,71,9
96,beginner,9,9,10,won,21,0,71,71,21
97,beginner,9,9,10,won,22,0,71,71,22
98,beginner,9,9,10,won,12,0,71,71,12
99,beginner,9,9,10,lost,12,1,52,71,32
100,beginner,9,9,10,won,14,0,71,71,14
101,beginner,9,9,10,won,28,0,71,71,28
102,beginner,9,9,10,won,19,0,71,71,19
103,beginner,9,9,10,lost,14,1,57,71,29
104,beginner,9,9,10,won,20,0,71,71,20
105,beginner,9,9,10,won,15,0,71,71,15
106,beginner,9,9,10,won,16,0,71,71,16
107,beginner,9,9,10,won,14,0,71,71,14
108,beginner,9,9,10,won,18,0,71,71,18
109,beginner,9,9,10,won,18,0,71,71,18
110,beginner,9,9,10,won,10,0,71,71,10
111,beginner,9,9,10,won,24,0,71,71,24
112,beginner,9,9,10,won,24,1,71,71,24
113,beginner,9,9,10,lost,12,1,67,71,17
114,beginner,9,9,10,lost,11,1,64,71,19
115,beginner,9,9,10,lost,9,3,61,71,20
116,beginner,9,9,10,won,17,0,71,71,17
117,beginner,9,9,10,won,12,0,71,71,12
118,beginner,9,9,10,won,18,0,71,71,18
119,beginner,9,9,10,lost,14,2,51,71,35
120,beginner,9,9,10,won,21,0,71,71,21
121,beginner,9,9,10,won,16,0,71,71,16
122,beginner,9,9,10,won,17,0,71,71,17
123,beginner,9,9,10,won,14,0,71,71,14
124,beginner,9,9,10,won,17,2,71,71,17
125,beginner,9,9,10,won,22,0,71,71,22
126,beginner,9,9,10,won,25,0,71,71,25
127,beginner,9,9,10,won,31,1,71,71,31
128,beginner,9,9,10,won,23,0,71,71,23
129,beginner,9,9,10,won,24,6,71,71,24
130,beginner,9,9,10,won,19,0,71,71,19
131,beginner,9,9,10,won,13,0,71,71,13
132,beginner,9,9,10,won,22,0,71,71,22
133,beginner,9,9,10,won,13,0,71,71,13
134,beginner,9,9,10,won,20,0,71,71,20
135,beginner,9,9,10,won,9,0,71,71,9
136,beginner,9,9,10,won,12,0,71,71,12
137,beginner,9,9,10,won,18,0,71,71,18
138,beginner,9,9,10,won,24,0,71,71,24
139,beginner,9,9,10,won,24,0,71,71,24
140,beginner,9,9,10,won,17,0,71,71,17
141,beginner,9,9,10,lost,19,2,58,71,33
142,beginner,9,9,10,won,19,0,71,71,19
143,beginner,9,9,10,won,23,0,71,71,23
144,beginner,9,9,10,won,18,0,71,71,18
145,beginner,9,9,10,won,26,0,71,71,26
146,beginner,9,9,10,won,10,0,71,71,10
147,beginner,9,9,10,won,17,0,71,71,17
148,beginner,9,9,10,won,23,1,71,71,23
149,beginner,9,9,10,won,7,0,71,71,7
150,beginner,9,9,10,won,12,0,71,71,12
151,beginner,9,9,10,won,16,0,71,71,16
152,beginner,9,9,10,lost,4,3,18,71,58
153,beginner,9,9,10,won,20,2,71,71,20
154,beginner,9,9,10,lost,8,1,66,71,14
155,beginner,9,9,10,won,22,0,71,71,22
156,beginner,9,9,10,lost,7,1,69,71,10
157,beginner,9,9,10,won,28,6,71,71,28
158,beginner,9,9,10,lost,17,1,63,71,26
159,beginner,9,9,10,won,17,0,71,71,17
160,beginner,9,9,10,won,27,2,71,71,27
161,beginner,9,9,10,won,25,1,71,71,25
162,beginner,9,9,10,won,14,1,71,71,14
163,beginner,9,9,10,won,24,0,71,71,24
164,beginner,9,9,10,won,13,0,71,71,13
165,beginner,9,9,10,won,16,0,71,71,16
166,beginner,9,9,10,won,16,0,71,71,16
167,beginner,9,9,10,won,17,0,71,71,17
168,beginner,9,9,10,lost,12,1,63,71,21
169,beginner,9,9,10,won,29,0,71,71,29
170,beginner,9,9,10,lost,8,1,59,71,21
171,beginner,9,9,10,lost,8,1,63,71,17
172,beginner,9,9,10,won,24,0,71,71,24
173,beginner,9,9,10,won,16,0,71,71,16
174,beginner,9,9,10,won,20,0,71,71,20
175,beginner,9,9,10,won,17,0,71,71,17
176,beginner,9,9,10,won,13,0,71,71,13
177,beginner,9,9,10,won,20,0,71,71,20
178,beginner,9,9,10,won,26,0,71,71,26
179,beginner,9,9,10,won,22,0,71,71,22
180,beginner,9,9,10,lost,12,2,70,71,14
181,beginner,9,9,10,won,13,0,71,71,13
182,beginner,9,9,10,lost,4,1,57,71,19
183,beginner,9,9,10,won,23,1,71,71,23
184,beginner,9,9,10,won,21,1,71,71,21
185,beginner,9,9,10,lost,4,1,56,71,20
186,beginner,9,9,10,won,12,0,71,71,12
187,beginner,9,9,10,won,15,0,71,71,15
188,beginner,9,9,10,won,19,0,71,71,19
189,beginner,9,9,10,won,17,0,71,71,17
190,beginner,9,9,10,won,9,0,71,71,9
191,beginner,9,9,10,won,12,0,71,71,12
192,beginner,9,9,10,lost,13,2,67,71,18
193,beginner,9,9,10,won,21,0,71,71,21
194,beginner,9,9,10,won,17,0,71,71,17
195,beginner,9,9,10,won,12,0,71,71,12
196,beginner,9,9,10,won,16,0,71,71,16
197,beginner,9,9,10,lost,22,1,68,71,26
198,beginner,9,9,10,won,26,0,71,71,26
199,beginner,9,9,10,won,11,0,71,71,11
200,beginner,9,9,10,won,12,0,71,71,12
201,beginner,9,9,10,won,21,1,71,71,21
202,beginner,9,9,10,won,19,0,71,71,19
203,beginner,9,9,10,won,19,0,71,71,19
204,beginner,9,9,10,won,23,2,71,71,23
205,beginner,9,9,10,won,23,0,71,71,23
206,beginner,9,9,10,won,13,0,71,71,13
207,beginner,9,9,10,won,20,0,71,71,20
208,beginner,9,9,10,won,17,0,71,71,17
209,beginner,9,9,10,won,13,0,71,71,13
210,beginner,9,9,10,won,13,0,71,71,13
211,beginner,9,9,10,won,14,0,71,71,14
