id,difficulty,width,height,mines,status,touches,guesses,revealed_count,total_safe_cells,score,method,guess
1,beginner,9,9,10,won,12,0,71,71,12,naive,random
2,beginner,9,9,10,lost,12,4,53,71,31,naive,random
3,beginner,9,9,10,won,11,0,71,71,11,naive,random
4,beginner,9,9,10,won,17,0,71,71,17,naive,random
5,beginner,9,9,10,won,16,0,71,71,16,naive,random
6,beginner,9,9,10,won,14,0,71,71,14,naive,random
7,beginner,9,9,10,won,16,0,71,71,16,naive,random
8,beginner,9,9,10,won,20,5,71,71,20,naive,random
9,beginner,9,9,10,won,11,1,71,71,11,naive,random
10,beginner,9,9,10,won,14,0,71,71,14,naive,random
11,beginner,9,9,10,won,19,0,71,71,19,naive,random
12,beginner,9,9,10,won,27,4,71,71,27,naive,random
13,beginner,9,9,10,won,12,1,71,71,12,naive,random
14,beginner,9,9,10,won,22,3,71,71,22,naive,random
15,beginner,9,9,10,won,15,3,71,71,15,naive,random
16,beginner,9,9,10,won,19,0,71,71,19,naive,random
17,beginner,9,9,10,won,26,0,71,71,26,naive,random
18,beginner,9,9,10,won,20,0,71,71,20,naive,random
19,beginner,9,9,10,won,19,0,71,71,19,naive,random
20,beginner,9,9,10,won,15,0,71,71,15,naive,random
21,beginner,9,9,10,won,15,0,71,71,15,naive,random
22,beginner,9,9,10,won,19,3,71,71,19,naive,random
23,beginner,9,9,10,won,20,0,71,71,20,naive,random
24,beginner,9,9,10,won,15,0,71,71,15,naive,random
25,beginner,9,9,10,won,13,0,71,71,13,naive,random
26,beginner,9,9,10,won,24,0,71,71,24,naive,random
27,beginner,9,9,10,won,27,0,71,71,27,naive,random
28,beginner,9,9,10,won,13,0,71,71,13,naive,random
29,beginner,9,9,10,won,13,0,71,71,13,naive,random
30,beginner,9,9,10,won,18,0,71,71,18,naive,random
31,beginner,9,9,10,won,23,0,71,71,23,naive,random
32,beginner,9,9,10,won,19,1,71,71,19,naive,random
33,beginner,9,9,10,won,4,0,71,71,4,naive,random
34,beginner,9,9,10,lost,9,2,59,71,22,naive,random
35,beginner,9,9,10,lost,14,1,71,71,15,naive,random
36,beginner,9,9,10,won,12,0,71,71,12,naive,random
37,beginner,9,9,10,won,14,0,71,71,14,naive,random
38,beginner,9,9,10,won,13,0,71,71,13,naive,random
39,beginner,9,9,10,won,27,0,71,71,27,naive,random
40,beginner,9,9,10,won,16,0,71,71,16,naive,random
41,beginner,9,9,10,won,21,0,71,71,21,naive,random
42,beginner,9,9,10,won,23,0,71,71,23,naive,random
43,beginner,9,9,10,won,22,0,71,71,22,naive,random
44,beginner,9,9,10,won,11,0,71,71,11,naive,random
45,beginner,9,9,10,won,11,0,71,71,11,naive,random
46,beginner,9,9,10,won,23,2,71,71,23,naive,random
47,beginner,9,9,10,won,17,0,71,71,17,naive,random
48,beginner,9,9,10,won,21,0,71,71,21,naive,random
49,beginner,9,9,10,won,15,1,71,71,15,naive,random
50,beginner,9,9,10,won,22,0,71,71,22,naive,random
51,beginner,9,9,10,lost,18,2,70,71,20,naive,random
52,beginner,9,9,10,won,16,0,71,71,16,naive,random
53,beginner,9,9,10,won,22,0,71,71,22,naive,random
54,beginner,9,9,10,won,13,0,71,71,13,naive,random
55,beginner,9,9,10,won,7,0,71,71,7,naive,random
56,beginner,9,9,10,won,19,0,71,71,19,naive,random
57,beginner,9,9,10,won,18,1,71,71,18,naive,random
58,beginner,9,9,10,lost,22,1,70,71,24,naive,random
59,beginner,9,9,10,won,14,3,71,71,14,naive,random
60,beginner,9,9,10,won,16,0,71,71,16,naive,random
61,beginner,9,9,10,lost,4,1,68,71,8,naive,random
62,beginner,9,9,10,won,29,0,71,71,29,naive,random
63,beginner,9,9,10,won,17,0,71,71,17,naive,random
64,beginner,9,9,10,won,17,0,71,71,17,naive,random
65,beginner,9,9,10,won,15,0,71,71,15,naive,random
66,beginner,9,9,10,won,13,0,71,71,13,naive,random
67,beginner,9,9,10,won,19,1,71,71,19,naive,random
68,beginner,9,9,10,lost,2,1,22,71,52,naive,random
69,beginner,9,9,10,won,24,0,71,71,24,naive,random
70,beginner,9,9,10,won,24,4,71,71,24,naive,random
71,beginner,9,9,10,won,16,0,71,71,16,naive,random
72,beginner,9,9,10,won,18,0,71,71,18,naive,random
73,beginner,9,9,10,won,10,0,71,71,10,naive,random
74,beginner,9,9,10,won,12,0,71,71,12,naive,random
75,beginner,9,9,10,won,16,0,71,71,16,naive,random
76,beginner,9,9,10,won,8,0,71,71,8,naive,random
77,beginner,9,9,10,won,14,0,71,71,14,naive,random
78,beginner,9,9,10,won,8,0,71,71,8,naive,random
79,beginner,9,9,10,won,9,0,71,71,9,naive,random
80,beginner,9,9,10,won,15,1,71,71,15,naive,random
81,beginner,9,9,10,won,14,0,71,71,14,naive,random
82,beginner,9,9,10,won,10,0,71,71,10,naive,random
83,beginner,9,9,10,won,9,0,71,71,9,naive,random
84,beginner,9,9,10,won,13,0,71,71,13,naive,random
85,beginner,9,9,10,won,18,0,71,71,18,naive,random
86,beginner,9,9,10,won,16,0,71,71,16,naive,random
87,beginner,9,9,10,won,7,1,71,71,7,naive,random
88,beginner,9,9,10,won,18,3,71,71,18,naive,random
89,beginner,9,9,10,won,25,0,71,71,25,naive,random
90,beginner,9,9,10,won,8,0,71,71,8,naive,random
91,beginner,9,9,10,won,22,0,71,71,22,naive,random
92,beginner,9,9,10,won,15,0,71,71,15,naive,random
93,beginner,9,9,10,won,20,0,71,71,20,naive,random
94,beginner,9,9,10,won,19,1,71,71,19,naive,random
95,beginner,9,9,10,won,9,0,71,71,9,naive,random
96,beginner,9,9,10,won,21,0,71,71,21,naive,random
97,beginner,9,9,10,won,22,0,71,71,22,naive,random
98,beginner,9,9,10,won,12,0,71,71,12,naive,random
99,beginner,9,9,10,lost,12,1,52,71,32,naive,random
100,beginner,9,9,10,won,14,0,71,71,14,naive,random
101,beginner,9,9,10,won,28,0,71,71,28,naive,random
102,beginner,9,9,10,won,19,0,71,71,19,naive,random
103,beginner,9,9,10,lost,14,1,57,71,29,naive,random
104,beginner,9,9,10,won,20,0,71,71,20,naive,random
105,beginner,9,9,10,won,15,0,71,71,15,naive,random
106,beginner,9,9,10,won,16,0,71,71,16,naive,random
107,beginner,9,9,10,won,14,0,71,71,14,naive,random
108,beginner,9,9,10,won,18,0,71,71,18,naive,random
109,beginner,9,9,10,won,18,0,71,71,18,naive,random
110,beginner,9,9,10,won,10,0,71,71,10,naive,random
111,beginner,9,9,10,won,24,0,71,71,24,naive,random
112,beginner,9,9,10,won,24,1,71,71,24,naive,random
113,beginner,9,9,10,lost,12,1,67,71,17,naive,random
114,beginner,9,9,10,lost,11,1,64,71,19,naive,random
115,beginner,9,9,10,lost,9,3,61,71,20,naive,random
116,beginner,9,9,10,won,17,0,71,71,17,naive,random
117,beginner,9,9,10,won,12,0,71,71,12,naive,random
118,beginner,9,9,10,won,18,0,71,71,18,naive,random
119,beginner,9,9,10,lost,14,2,51,71,35,naive,random
120,beginner,9,9,10,won,21,0,71,71,21,naive,random
121,beginner,9,9,10,won,16,0,71,71,16,naive,random
122,beginner,9,9,10,won,17,0,71,71,17,naive,random
123,beginner,9,9,10,won,14,0,71,71,14,naive,random
124,beginner,9,9,10,won,17,2,71,71,17,naive,random
125,beginner,9,9,10,won,22,0,71,71,22,naive,random
126,beginner,9,9,10,won,25,0,71,71,25,naive,random
127,beginner,9,9,10,won,31,1,71,71,31,naive,random
128,beginner,9,9,10,won,23,0,71,71,23,naive,random
129,beginner,9,9,10,won,24,6,71,71,24,naive,random
130,beginner,9,9,10,won,19,0,71,71,19,naive,random
131,beginner,9,9,10,won,13,0,71,71,13,naive,random
132,beginner,9,9,10,won,22,0,71,71,22,naive,random
133,beginner,9,9,10,won,13,0,71,71,13,naive,random
134,beginner,9,9,10,won,20,0,71,71,20,naive,random
135,beginner,9,9,10,won,9,0,71,71,9,naive,random
136,beginner,9,9,10,won,12,0,71,71,12,naive,random
137,beginner,9,9,10,won,18,0,71,71,18,naive,random
138,beginner,9,9,10,won,24,0,71,71,24,naive,random
139,beginner,9,9,10,won,24,0,71,71,24,naive,random
140,beginner,9,9,10,won,17,0,71,71,17,naive,random
141,beginner,9,9,10,lost,19,2,58,71,33,naive,random
142,beginner,9,9,10,won,19,0,71,71,19,naive,random
143,beginner,9,9,10,won,23,0,71,71,23,naive,random
144,beginner,9,9,10,won,18,0,71,71,18,naive,random
145,beginner,9,9,10,won,26,0,71,71,26,naive,random
146,beginner,9,9,10,won,10,0,71,71,10,naive,random
147,beginner,9,9,10,won,17,0,71,71,17,naive,random
148,beginner,9,9,10,won,23,1,71,71,23,naive,random
149,beginner,9,9,10,won,7,0,71,71,7,naive,random
150,beginner,9,9,10,won,12,0,71,71,12,naive,random
151,beginner,9,9,10,won,16,0,71,71,16,naive,random
152,beginner,9,9,10,lost,4,3,18,71,58,naive,random
153,beginner,9,9,10,won,20,2,71,71,20,naive,random
154,beginner,9,9,10,lost,8,1,66,71,14,naive,random
155,beginner,9,9,10,won,22,0,71,71,22,naive,random
156,beginner,9,9,10,lost,7,1,69,71,10,naive,random
157,beginner,9,9,10,won,28,6,71,71,28,naive,random
158,beginner,9,9,10,lost,17,1,63,71,26,naive,random
