id,difficulty,width,height,mines,status,touches,guesses,revealed_count,total_safe_cells,score,method
1,beginner,9,9,10,won,12,0,71,71,12,subset
2,beginner,9,9,10,won,28,0,71,71,28,subset
3,beginner,9,9,10,won,12,0,71,71,12,subset
4,beginner,9,9,10,won,19,0,71,71,19,subset
5,beginner,9,9,10,won,16,0,71,71,16,subset
6,beginner,9,9,10,won,14,0,71,71,14,subset
7,beginner,9,9,10,won,16,0,71,71,16,subset
8,beginner,9,9,10,lost,19,1,70,71,21,subset
9,beginner,9,9,10,won,10,1,71,71,10,subset
10,beginner,9,9,10,won,15,0,71,71,15,subset
11,beginner,9,9,10,won,19,0,71,71,19,subset
12,beginner,9,9,10,won,30,0,71,71,30,subset
13,beginner,9,9,10,won,12,0,71,71,12,subset
14,beginner,9,9,10,won,22,1,71,71,22,subset
15,beginner,9,9,10,won,14,1,71,71,14,subset
16,beginner,9,9,10,won,16,0,71,71,16,subset
17,beginner,9,9,10,won,25,0,71,71,25,subset
18,beginner,9,9,10,won,21,0,71,71,21,subset
19,beginner,9,9,10,won,18,0,71,71,18,subset
20,beginner,9,9,10,won,15,0,71,71,15,subset
21,beginner,9,9,10,won,15,0,71,71,15,subset
22,beginner,9,9,10,won,19,0,71,71,19,subset
23,beginner,9,9,10,won,19,0,71,71,19,subset
24,beginner,9,9,10,won,18,0,71,71,18,subset
25,beginner,9,9,10,won,13,0,71,71,13,subset
26,beginner,9,9,10,won,24,0,71,71,24,subset
27,beginner,9,9,10,won,28,0,71,71,28,subset
28,beginner,9,9,10,won,13,0,71,71,13,subset
29,beginner,9,9,10,won,14,0,71,71,14,subset
30,beginner,9,9,10,won,20,0,71,71,20,subset
31,beginner,9,9,10,won,24,0,71,71,24,subset
32,beginner,9,9,10,won,20,1,71,71,20,subset
33,beginner,9,9,10,won,4,0,71,71,4,subset
34,beginner,9,9,10,won,25,1,71,71,25,subset
35,beginner,9,9,10,lost,14,1,71,71,15,subset
36,beginner,9,9,10,won,12,0,71,71,12,subset
37,beginner,9,9,10,won,14,0,71,71,14,subset
38,beginner,9,9,10,won,12,0,71,71,12,subset
39,beginner,9,9,10,won,27,0,71,71,27,subset
40,beginner,9,9,10,won,16,0,71,71,16,subset
41,beginner,9,9,10,won,20,0,71,71,20,subset
42,beginner,9,9,10,won,23,0,71,71,23,subset
43,beginner,9,9,10,won,22,0,71,71,22,subset
44,beginner,9,9,10,won,11,0,71,71,11,subset
45,beginner,9,9,10,won,10,0,71,71,10,subset
46,beginner,9,9,10,won,23,0,71,71,23,subset
47,beginner,9,9,10,won,20,0,71,71,20,subset
48,beginner,9,9,10,won,21,0,71,71,21,subset
49,beginner,9,9,10,won,15,0,71,71,15,subset
50,beginner,9,9,10,won,22,0,71,71,22,subset
51,beginner,9,9,10,won,20,1,71,71,20,subset
52,beginner,9,9,10,won,17,0,71,71,17,subset
53,beginner,9,9,10,won,21,0,71,71,21,subset
54,beginner,9,9,10,won,13,0,71,71,13,subset
55,beginner,9,9,10,won,7,0,71,71,7,subset
56,beginner,9,9,10,won,19,0,71,71,19,subset
57,beginner,9,9,10,won,17,0,71,71,17,subset
58,beginner,9,9,10,lost,21,1,70,71,23,subset
59,beginner,9,9,10,won,12,2,71,71,12,subset
60,beginner,9,9,10,won,18,0,71,71,18,subset
61,beginner,9,9,10,lost,4,1,68,71,8,subset
62,beginner,9,9,10,won,29,0,71,71,29,subset
63,beginner,9,9,10,won,18,0,71,71,18,subset
64,beginner,9,9,10,won,17,0,71,71,17,subset
65,beginner,9,9,10,won,17,0,71,71,17,subset
66,beginner,9,9,10,won,13,0,71,71,13,subset
67,beginner,9,9,10,won,21,1,71,71,21,subset
68,beginner,9,9,10,won,21,0,71,71,21,subset
69,beginner,9,9,10,won,23,0,71,71,23,subset
70,beginner,9,9,10,won,24,0,71,71,24,subset
71,beginner,9,9,10,won,16,0,71,71,16,subset
72,beginner,9,9,10,won,18,0,71,71,18,subset
73,beginner,9,9,10,won,10,0,71,71,10,subset
74,beginner,9,9,10,won,14,0,71,71,14,subset
75,beginner,9,9,10,won,16,0,71,71,16,subset
76,beginner,9,9,10,won,8,0,71,71,8,subset
77,beginner,9,9,10,won,14,0,71,71,14,subset
78,beginner,9,9,10,won,9,0,71,71,9,subset
79,beginner,9,9,10,won,9,0,71,71,9,subset
80,beginner,9,9,10,won,16,0,71,71,16,subset
81,beginner,9,9,10,won,14,0,71,71,14,subset
82,beginner,9,9,10,won,10,0,71,71,10,subset
83,beginner,9,9,10,won,9,0,71,71,9,subset
84,beginner,9,9,10,won,13,0,71,71,13,subset
85,beginner,9,9,10,won,17,0,71,71,17,subset
86,beginner,9,9,10,won,15,0,71,71,15,subset
87,beginner,9,9,10,won,7,1,71,71,7,subset
88,beginner,9,9,10,won,16,0,71,71,16,subset
89,beginner,9,9,10,won,27,0,71,71,27,subset
90,beginner,9,9,10,won,8,0,71,71,8,subset
91,beginner,9,9,10,won,21,0,71,71,21,subset
92,beginner,9,9,10,won,15,0,71,71,15,subset
93,beginner,9,9,10,won,21,0,71,71,21,subset
94,beginner,9,9,10,won,19,1,71,71,19,subset
95,beginner,9,9,10,won,9,0,71,71,9,subset
96,beginner,9,9,10,won,22,0,71,71,22,subset
97,beginner,9,9,10,won,20,0,71,71,20,subset
98,beginner,9,9,10,won,12,0,71,71,12,subset
99,beginner,9,9,10,won,25,0,71,71,25,subset
100,beginner,9,9,10,won,14,0,71,71,14,subset
101,beginner,9,9,10,won,28,0,71,71,28,subset
102,beginner,9,9,10,won,19,0,71,71,19,subset
103,beginner,9,9,10,won,28,0,71,71,28,subset
104,beginner,9,9,10,won,25,0,71,71,25,subset
105,beginner,9,9,10,won,17,0,71,71,17,subset
106,beginner,9,9,10,won,16,0,71,71,16,subset
107,beginner,9,9,10,won,16,0,71,71,16,subset
108,beginner,9,9,10,won,18,0,71,71,18,subset
109,beginner,9,9,10,won,18,0,71,71,18,subset
110,beginner,9,9,10,won,10,0,71,71,10,subset
111,beginner,9,9,10,won,25,0,71,71,25,subset
112,beginner,9,9,10,won,25,0,71,71,25,subset
113,beginner,9,9,10,won,18,1,71,71,18,subset
114,beginner,9,9,10,won,18,0,71,71,18,subset
115,beginner,9,9,10,won,19,0,71,71,19,subset
116,beginner,9,9,10,won,17,0,71,71,17,subset
117,beginner,9,9,10,won,12,0,71,71,12,subset
118,beginner,9,9,10,won,18,0,71,71,18,subset
119,beginner,9,9,10,won,27,1,71,71,27,subset
120,beginner,9,9,10,won,20,0,71,71,20,subset
121,beginner,9,9,10,won,16,0,71,71,16,subset
122,beginner,9,9,10,won,16,0,71,71,16,subset
123,beginner,9,9,10,won,15,0,71,71,15,subset
124,beginner,9,9,10,won,18,1,71,71,18,subset
125,beginner,9,9,10,won,22,0,71,71,22,subset
126,beginner,9,9,10,won,25,0,71,71,25,subset
127,beginner,9,9,10,won,32,1,71,71,32,subset
128,beginner,9,9,10,won,24,0,71,71,24,subset
129,beginner,9,9,10,won,24,2,71,71,24,subset
130,beginner,9,9,10,won,21,0,71,71,21,subset
131,beginner,9,9,10,won,13,0,71,71,13,subset
132,beginner,9,9,10,won,21,0,71,71,21,subset
133,beginner,9,9,10,won,13,0,71,71,13,subset
134,beginner,9,9,10,won,20,0,71,71,20,subset
135,beginner,9,9,10,won,9,0,71,71,9,subset
136,beginner,9,9,10,won,14,0,71,71,14,subset
137,beginner,9,9,10,won,18,0,71,71,18,subset
138,beginner,9,9,10,won,24,0,71,71,24,subset
139,beginner,9,9,10,won,24,0,71,71,24,subset
140,beginner,9,9,10,won,17,0,71,71,17,subset
141,beginner,9,9,10,won,32,0,71,71,32,subset
142,beginner,9,9,10,won,19,0,71,71,19,subset
143,beginner,9,9,10,won,25,0,71,71,25,subset
144,beginner,9,9,10,won,18,0,71,71,18,subset
145,beginner,9,9,10,won,24,0,71,71,24,subset
146,beginner,9,9,10,won,10,0,71,71,10,subset
147,beginner,9,9,10,won,17,0,71,71,17,subset
148,beginner,9,9,10,won,23,1,71,71,23,subset
149,beginner,9,9,10,won,7,0,71,71,7,subset
150,beginner,9,9,10,won,15,0,71,71,15,subset
151,beginner,9,9,10,won,14,0,71,71,14,subset
152,beginner,9,9,10,lost,4,3,18,71,58,subset
153,beginner,9,9,10,won,19,0,71,71,19,subset
154,beginner,9,9,10,won,13,1,71,71,13,subset
155,beginner,9,9,10,won,21,0,71,71,21,subset
156,beginner,9,9,10,won,9,0,71,71,9,subset
157,beginner,9,9,10,won,24,1,71,71,24,subset
158,beginner,9,9,10,lost,16,1,63,71,25,subset
159,beginner,9,9,10,won,16,0,71,71,16,subset
160,beginner,9,9,10,won,28,1,71,71,28,subset
161,beginner,9,9,10,won,25,0,71,71,25,subset
162,beginner,9,9,10,won,14,0,71,71,14,subset
163,beginner,9,9,10,won,23,0,71,71,23,subset
164,beginner,9,9,10,won,14,0,71,71,14,subset
165,beginner,9,9,10,won,16,0,71,71,16,subset
166,beginner,9,9,10,won,16,0,71,71,16,subset
167,beginner,9,9,10,won,17,0,71,71,17,subset
168,beginner,9,9,10,won,16,0,71,71,16,subset
169,beginner,9,9,10,won,29,0,71,71,29,subset
170,beginner,9,9,10,won,20,0,71,71,20,subset
171,beginner,9,9,10,won,20,0,71,71,20,subset
172,beginner,9,9,10,won,25,0,71,71,25,subset
173,beginner,9,9,10,won,15,0,71,71,15,subset
174,beginner,9,9,10,won,21,0,71,71,21,subset
175,beginner,9,9,10,won,16,0,71,71,16,subset
176,beginner,9,9,10,won,18,0,71,71,18,subset
177,beginner,9,9,10,won,20,0,71,71,20,subset
178,beginner,9,9,10,won,27,0,71,71,27,subset
179,beginner,9,9,10,won,21,0,71,71,21,subset
180,beginner,9,9,10,won,13,1,71,71,13,subset
181,beginner,9,9,10,won,14,0,71,71,14,subset
182,beginner,9,9,10,won,18,0,71,71,18,subset
183,beginner,9,9,10,won,22,0,71,71,22,subset
184,beginner,9,9,10,won,21,1,71,71,21,subset
185,beginner,9,9,10,won,15,0,71,71,15,subset
186,beginner,9,9,10,won,12,0,71,71,12,subset
187,beginner,9,9,10,won,15,0,71,71,15,subset
188,beginner,9,9,10,won,21,0,71,71,21,subset
189,beginner,9,9,10,won,18,0,71,71,18,subset
190,beginner,9,9,10,won,9,0,71,71,9,subset
